n_components,n_features,lmbda,gamma,k,num_regions,trial,C_T,cr_q
1,4,5,0.00025,1,5,0,3.7623477071021902,0.173
1,4,5,0.00025,1,5,1,2.9637993750881346,0.1395
1,4,5,0.00025,1,5,2,3.4189665848342035,0.2225
1,4,5,0.00025,1,5,3,2.7009889625942582,0.113
1,4,5,0.00025,1,5,4,4.340703400591848,0.1265
1,4,5,0.00025,1,5,5,3.673804235583292,0.121
1,4,5,0.00025,1,5,6,4.723326546642053,0.19
1,4,5,0.00025,1,5,7,5.163063505511487,0.12
1,4,5,0.00025,1,5,8,4.215468479116302,0.124
1,4,5,0.00025,1,5,9,3.836080432432331,0.159
1,4,5,0.00025,1,5,10,3.870702731233831,0.1075
1,4,5,0.00025,1,5,11,3.896311877523083,0.2255
1,4,5,0.00025,1,5,12,5.206015088828372,0.2195
1,4,5,0.00025,1,5,13,4.070871400971899,0.135
1,4,5,0.00025,1,5,14,4.218619290236826,0.334
1,4,5,0.00025,1,5,15,3.831239977859615,0.209
1,4,5,0.00025,1,5,16,4.752549429939813,0.2635
1,4,5,0.00025,1,5,17,4.507727349005081,0.167
1,4,5,0.00025,1,5,18,3.07055733507403,0.112
1,4,5,0.00025,1,5,19,4.025115879997571,0.123
1,4,5,0.00025,1,5,20,3.1228623477820134,0.2535
1,4,5,0.00025,1,5,21,4.263170788094108,0.115
1,4,5,0.00025,1,5,22,4.6163064279627815,0.197
1,4,5,0.00025,1,5,23,4.4847059980126645,0.132
1,4,5,0.00025,1,5,24,4.1271409287516265,0.1215
1,4,5,0.00025,1,5,25,4.426035893051811,0.124
1,4,5,0.00025,1,5,26,4.335347400477475,0.1505
1,4,5,0.00025,1,5,27,3.6042520203298283,0.2605
1,4,5,0.00025,1,5,28,4.108212204945907,0.1165
1,4,5,0.00025,1,5,29,4.805215500752685,0.1255
1,4,5,0.00025,1,5,30,4.073248930641878,0.1285
1,4,5,0.00025,1,5,31,4.331035471388514,0.2485
1,4,5,0.00025,1,5,32,4.852336489968741,0.2385
1,4,5,0.00025,1,5,33,3.8204230893048146,0.115
1,4,5,0.00025,1,5,34,3.2001888454582366,0.2695
1,4,5,0.00025,1,5,35,3.9650105593288525,0.108
1,4,5,0.00025,1,5,36,3.464807495772992,0.1265
1,4,5,0.00025,1,5,37,3.7408890705944065,0.268
1,4,5,0.00025,1,5,38,3.5294659069141923,0.2305
1,4,5,0.00025,1,5,39,4.650688075236805,0.1055
1,4,5,0.00025,1,5,40,3.2715492679511553,0.251
1,4,5,0.00025,1,5,41,4.351408364102635,0.129
1,4,5,0.00025,1,5,42,3.2115147519170053,0.128
1,4,5,0.00025,1,5,43,3.2071680407056236,0.2135
1,4,5,0.00025,1,5,44,3.528553563466886,0.137
1,4,5,0.00025,1,5,45,3.857471358470936,0.112
1,4,5,0.00025,1,5,46,4.187759022235144,0.1005
1,4,5,0.00025,1,5,47,3.731788414497592,0.1155
1,4,5,0.00025,1,5,48,4.45326523462339,0.1275
1,4,5,0.00025,1,5,49,3.940114552348851,0.277
1,4,5,0.00025,1,5,50,4.075043567992466,0.212
1,4,5,0.00025,1,5,51,3.256537798262187,0.21
1,4,5,0.00025,1,5,52,3.5180799316954374,0.134
1,4,5,0.00025,1,5,53,3.4048377640618837,0.164
1,4,5,0.00025,1,5,54,5.218272650607239,0.104
1,4,5,0.00025,1,5,55,4.001211924787333,0.114
1,4,5,0.00025,1,5,56,4.175369822799902,0.2845
1,4,5,0.00025,1,5,57,4.30612375723316,0.126
1,4,5,0.00025,1,5,58,3.774366523314075,0.1235
1,4,5,0.00025,1,5,59,4.098218870565488,0.226
1,4,5,0.00025,1,5,60,3.7653994737447958,0.1515
1,4,5,0.00025,1,5,61,3.73751920668014,0.159
1,4,5,0.00025,1,5,62,3.714498781123417,0.2205
1,4,5,0.00025,1,5,63,4.581461203498961,0.3065
1,4,5,0.00025,1,5,64,4.926665631049155,0.112
1,4,5,0.00025,1,5,65,4.377979078804314,0.157
1,4,5,0.00025,1,5,66,3.291781457029561,0.1115
1,4,5,0.00025,1,5,67,3.0612127434163936,0.178
1,4,5,0.00025,1,5,68,3.5314965422325297,0.151
1,4,5,0.00025,1,5,69,3.6259020579411954,0.125
1,4,5,0.00025,1,5,70,3.7436073856634637,0.243
1,4,5,0.00025,1,5,71,3.962014611756226,0.114
1,4,5,0.00025,1,5,72,3.8993186145303818,0.1665
1,4,5,0.00025,1,5,73,3.760482745214775,0.212
1,4,5,0.00025,1,5,74,3.410780984366504,0.1845
1,4,5,0.00025,1,5,75,5.047379548151006,0.2535
1,4,5,0.00025,1,5,76,3.644362988046565,0.1785
1,4,5,0.00025,1,5,77,4.4026496492944,0.126
1,4,5,0.00025,1,5,78,4.088397185096275,0.1705
1,4,5,0.00025,1,5,79,4.408287064517793,0.1745
1,4,5,0.00025,1,5,80,3.9765446694197824,0.1395
1,4,5,0.00025,1,5,81,2.6918789706381174,0.1475
1,4,5,0.00025,1,5,82,3.680656992459681,0.1485
1,4,5,0.00025,1,5,83,4.180859770274997,0.149
1,4,5,0.00025,1,5,84,3.945587629790921,0.129
1,4,5,0.00025,1,5,85,3.733032376483333,0.2335
1,4,5,0.00025,1,5,86,4.634698852128095,0.166
1,4,5,0.00025,1,5,87,4.353505860202063,0.1545
