noise,lmbda,gamma,k,num_regions,trial,C_T,Zu,cr_q
0.1,5,0.00025,1,5,0,-0.27033965214681477,-1.6469631334622485,0.099
0.1,5,0.00025,1,5,1,0.41195975143521363,-0.4353462613980859,0.109
0.1,5,0.00025,1,5,2,0.19270426874319374,-0.577897704668041,0.088
0.1,5,0.00025,1,5,3,-0.19733712994523991,-1.062146612885942,0.048
0.1,5,0.00025,1,5,4,0.056348141264285494,-1.080526477109737,0.079
0.1,5,0.00025,1,5,5,0.40779731448216355,-0.6617685600834053,0.041
0.1,5,0.00025,1,5,6,-0.014896355922709444,-1.7583867712024825,0.057
0.1,5,0.00025,1,5,7,-0.021525373027512062,-0.7770148052242214,0.08
0.1,5,0.00025,1,5,8,-0.22448485062420678,-1.4204295079544276,0.065
0.1,5,0.00025,1,5,9,0.2240814448511095,-0.11639629164118129,0.09
0.1,5,0.00025,1,5,10,0.377087620712436,-0.4014148357295235,0.067
0.1,5,0.00025,1,5,11,0.10047935071821136,-1.3855750514870055,0.083
0.1,5,0.00025,1,5,12,-0.042460754662464406,-1.5733058686129364,0.107
0.1,5,0.00025,1,5,13,0.5578046399705194,-1.3035291885835916,0.108
0.1,5,0.00025,1,5,14,-0.6989909332307622,-1.5416349631911328,0.071
0.1,5,0.00025,1,5,15,0.4259777200102121,-1.9544954521272688,0.042
0.1,5,0.00025,1,5,16,0.14430716575328661,-1.2296734260961046,0.059
0.1,5,0.00025,1,5,17,0.23662229847918165,-0.5629324748546723,0.08
0.1,5,0.00025,1,5,18,0.5008866804832757,-0.63739030142802,0.068
0.1,5,0.00025,1,5,19,0.20940076813242792,-1.0726558156922605,0.058
0.1,5,0.00025,1,5,20,0.22375180095687552,-1.5064198884105602,0.044
0.1,5,0.00025,1,5,21,0.7927740838603299,-1.5248787626668978,0.1
0.1,5,0.00025,1,5,22,-0.24969005605548605,-1.2236016305052992,0.048
0.1,5,0.00025,1,5,23,-0.0707109567777205,-0.6343736707455603,0.046
0.1,5,0.00025,1,5,24,-0.2462835892427382,-1.2027781468829069,0.05
0.1,5,0.00025,1,5,25,-0.08707228334856065,-0.8252414987186204,0.082
0.1,5,0.00025,1,5,26,-0.17304855648897965,-1.2238847996928712,0.044
0.1,5,0.00025,1,5,27,-0.28911219555342116,-2.0179342914151057,0.044
0.1,5,0.00025,1,5,28,0.14940838006161888,-1.1508042708787876,0.06
0.1,5,0.00025,1,5,29,-0.2791206465027509,-0.48441068961803085,0.052
0.1,5,0.00025,1,5,30,-0.043052884832043246,-1.473424039853393,0.082
0.1,5,0.00025,1,5,31,-0.3269799130870391,-0.7985379638793103,0.074
0.1,5,0.00025,1,5,32,-0.29883891444211325,-1.6503853022359567,0.046
0.1,5,0.00025,1,5,33,-0.10769946632028428,-0.6432202530220817,0.055
0.1,5,0.00025,1,5,34,0.4602528022083394,-0.4044131989882875,0.054
0.1,5,0.00025,1,5,35,-0.211081042314022,-1.1424319819334237,0.039
0.1,5,0.00025,1,5,36,-0.24724695855449316,-0.8646622341415069,0.102
0.1,5,0.00025,1,5,37,-0.024989700808194442,-1.3748333181523786,0.044
0.1,5,0.00025,1,5,38,0.10750573905531954,-1.2476666701759538,0.055
0.1,5,0.00025,1,5,39,0.312677741723484,-0.7523611162955672,0.059
0.1,5,0.00025,1,5,40,-0.06285028798605599,-0.9162891832997742,0.115
0.1,5,0.00025,1,5,41,0.030404384071781573,-1.1046884098312562,0.07
0.1,5,0.00025,1,5,42,-0.14344611656287298,-0.8557343489546109,0.063
0.1,5,0.00025,1,5,43,-0.36565458163121817,-2.26599231924625,0.092
0.1,5,0.00025,1,5,44,0.19211302546360912,-0.08960546533773689,0.095
