rho,lmbda,gamma,k,num_regions,trial,C_T,cr_q
0.1,5,0.00025,1,5,0,-13.047667878832609,0.214
0.1,5,0.00025,1,5,1,-13.08898697914655,0.2215
0.1,5,0.00025,1,5,2,-13.331785126286144,0.186
0.1,5,0.00025,1,5,3,-12.884097649566314,0.172
0.1,5,0.00025,1,5,4,-13.719370301228121,0.184
0.1,5,0.00025,1,5,5,-13.848178325595107,0.19
0.1,5,0.00025,1,5,6,-13.008042067053285,0.227
0.1,5,0.00025,1,5,7,-12.342613550655551,0.1865
0.1,5,0.00025,1,5,8,-13.427819513469757,0.183
0.1,5,0.00025,1,5,9,-13.828469646188879,0.17
0.1,5,0.00025,1,5,10,-13.612493321587841,0.179
0.1,5,0.00025,1,5,11,-13.331933373158066,0.155
0.1,5,0.00025,1,5,12,-14.054027868759773,0.1475
0.1,5,0.00025,1,5,13,-13.395189440869773,0.203
0.1,5,0.00025,1,5,14,-13.351452163376727,0.1785
0.1,5,0.00025,1,5,15,-12.616367959689908,0.1945
0.1,5,0.00025,1,5,16,-13.449955385703769,0.195
0.1,5,0.00025,1,5,17,-12.859593872626805,0.2185
0.1,5,0.00025,1,5,18,-12.643204799961026,0.197
0.1,5,0.00025,1,5,19,-13.523658035594991,0.187
0.1,5,0.00025,1,5,20,-13.789576854231019,0.18
0.1,5,0.00025,1,5,21,-13.617515318571533,0.2045
0.1,5,0.00025,1,5,22,-13.772554542287166,0.17
0.1,5,0.00025,1,5,23,-13.13294183010159,0.1815
0.1,5,0.00025,1,5,24,-13.036906557859984,0.1895
0.1,5,0.00025,1,5,25,-13.751427648291658,0.2015
0.1,5,0.00025,1,5,26,-13.73512197878752,0.1975
0.1,5,0.00025,1,5,27,-14.02404924053014,0.1855
0.1,5,0.00025,1,5,28,-13.257901467136852,0.2035
0.1,5,0.00025,1,5,29,-13.406077083219582,0.1755
0.1,5,0.00025,1,5,30,-11.860802877890645,0.1835
0.1,5,0.00025,1,5,31,-12.16306394122315,0.1885
0.1,5,0.00025,1,5,32,-13.695048331144324,0.1895
0.1,5,0.00025,1,5,33,-12.691667423235153,0.17
0.1,5,0.00025,1,5,34,-12.917089784619138,0.227
0.1,5,0.00025,1,5,35,-13.435637654447364,0.198
0.1,5,0.00025,1,5,36,-13.27914052075991,0.168
0.1,5,0.00025,1,5,37,-13.918833934391783,0.222
0.1,5,0.00025,1,5,38,-13.948408101661329,0.2
0.1,5,0.00025,1,5,39,-12.864891870173725,0.206
