rho,lmbda,gamma,k,num_regions,trial,C_T,cr_q
0.1,5,0.00025,1,5,0,-0.6885283655806168,0.108
0.1,5,0.00025,1,5,1,-1.15642079423325,0.059
0.1,5,0.00025,1,5,2,-1.0922543516660563,0.048
0.1,5,0.00025,1,5,3,-1.2709314777274323,0.117
0.1,5,0.00025,1,5,4,-1.2759855159077034,0.053
0.1,5,0.00025,1,5,5,-0.8623685640953973,0.105
0.1,5,0.00025,1,5,6,-1.521433778042755,0.052
0.1,5,0.00025,1,5,7,-1.2071293616710475,0.101
0.1,5,0.00025,1,5,8,-1.3698822532041677,0.099
0.1,5,0.00025,1,5,9,-1.5553477434784913,0.06
0.1,5,0.00025,1,5,10,-0.905346290681034,0.072
0.1,5,0.00025,1,5,11,-1.99564475838745,0.054
0.1,5,0.00025,1,5,12,-1.39556256851248,0.045
0.1,5,0.00025,1,5,13,-1.1215505792132976,0.055
0.1,5,0.00025,1,5,14,-1.5127148488171618,0.065
0.1,5,0.00025,1,5,15,-1.1834705255205071,0.073
0.1,5,0.00025,1,5,16,-1.5206931838732696,0.085
0.1,5,0.00025,1,5,17,-1.3887937488522637,0.095
0.1,5,0.00025,1,5,18,-1.1744696041717828,0.063
0.1,5,0.00025,1,5,19,-1.4972978248635296,0.085
0.1,5,0.00025,1,5,20,-1.4190242278008163,0.095
0.1,5,0.00025,1,5,21,-1.5552336711691441,0.076
0.1,5,0.00025,1,5,22,-1.7463911307737108,0.052
0.1,5,0.00025,1,5,23,-1.295996198844919,0.045
0.1,5,0.00025,1,5,24,-0.912463658379001,0.11
0.1,5,0.00025,1,5,25,-0.731584949288959,0.107
0.1,5,0.00025,1,5,26,-1.021695069983229,0.082
0.1,5,0.00025,1,5,27,-1.325029307490548,0.074
0.1,5,0.00025,1,5,28,-1.3987156923138317,0.103
0.1,5,0.00025,1,5,29,-1.4137211984919924,0.077
0.1,5,0.00025,1,5,30,-0.9925070381190557,0.051
0.1,5,0.00025,1,5,31,-1.4093879029231973,0.069
0.1,5,0.00025,1,5,32,-0.8546544177986221,0.046
0.1,5,0.00025,1,5,33,-1.2711832529792981,0.07
0.1,5,0.00025,1,5,34,-1.5218614095515675,0.095
0.1,5,0.00025,1,5,35,-1.3330744375884502,0.069
0.1,5,0.00025,1,5,36,-1.2609442150525498,0.103
0.1,5,0.00025,1,5,37,-1.62657619337199,0.054
0.1,5,0.00025,1,5,38,-1.5228638100520087,0.05
0.1,5,0.00025,1,5,39,-1.608550845735591,0.099
0.1,5,0.00025,1,5,40,-1.352257419776352,0.055
0.1,5,0.00025,1,5,41,-1.4184082572884005,0.042
0.1,5,0.00025,1,5,42,-1.1373175685922496,0.064
0.1,5,0.00025,1,5,43,-1.347928330172837,0.058
0.1,5,0.00025,1,5,44,-1.124551511561959,0.11
0.1,5,0.00025,1,5,45,-1.0152582278320823,0.084
0.1,5,0.00025,1,5,46,-1.6016680016970497,0.094
0.1,5,0.00025,1,5,47,-1.1850003936616695,0.071
0.1,5,0.00025,1,5,48,-1.3898374745038218,0.064
0.1,5,0.00025,1,5,49,-1.1885733129399711,0.084
0.1,5,0.00025,1,5,50,-1.4872247630102702,0.092
0.1,5,0.00025,1,5,51,-0.8805548013061432,0.105
0.1,5,0.00025,1,5,52,-0.7674304814675481,0.047
0.1,5,0.00025,1,5,53,-1.1654465915112326,0.088
0.1,5,0.00025,1,5,54,-1.2864532166329707,0.059
0.1,5,0.00025,1,5,55,-1.0573373421546222,0.073
0.1,5,0.00025,1,5,56,-1.3711527637912775,0.098
0.1,5,0.00025,1,5,57,-1.1992379337923784,0.078
0.1,5,0.00025,1,5,58,-1.019215051021951,0.071
0.1,5,0.00025,1,5,59,-1.257934677948327,0.059
0.1,5,0.00025,1,5,60,-1.3836872193621101,0.058
0.1,5,0.00025,1,5,61,-1.595002609546075,0.08
0.1,5,0.00025,1,5,62,-1.905284280560118,0.063
0.1,5,0.00025,1,5,63,-1.3607440862568454,0.065
0.1,5,0.00025,1,5,64,-1.2930261411870065,0.079
