rho,lmbda,n_proj,cr
0.9,1,1,0.457945
0.8,1,1,0.416405
0.7,1,1,0.354495
0.6,1,1,0.403925
0.5,1,1,0.34012
0.4,1,1,0.45911
0.3,1,1,0.309975
0.2,1,1,0.410805
0.1,1,1,0.36125
0.9,1,10,0.974425
0.8,1,10,0.967255
0.7,1,10,0.947105
0.6,1,10,0.958545
0.5,1,10,0.963305
0.4,1,10,0.95896
0.3,1,10,0.98186
0.2,1,10,0.977735
0.1,1,10,0.989325
0.9,1,20,0.989705
0.8,1,20,0.98974
0.7,1,20,0.98895
0.6,1,20,0.991445
0.5,1,20,0.989915
0.4,1,20,0.99836
0.3,1,20,0.99923
0.2,1,20,0.997245
0.1,1,20,0.99936
0.9,1,30,0.99745
0.8,1,30,0.99707
0.7,1,30,0.997285
0.6,1,30,0.99924
0.5,1,30,0.99917
0.4,1,30,0.999775
0.3,1,30,0.9993
0.2,1,30,0.99995
0.1,1,30,0.99998
0.9,1,40,0.99946
0.8,1,40,0.99913
0.7,1,40,0.999415
0.6,1,40,0.99985
0.5,1,40,0.999875
0.4,1,40,0.99996
0.3,1,40,0.99998
0.2,1,40,0.999995
0.1,1,40,1.0
0.9,1,50,0.99983
0.8,1,50,0.9989
0.7,1,50,0.9997
0.6,1,50,0.99988
0.5,1,50,0.99985
0.4,1,50,0.999985
0.3,1,50,1.0
0.2,1,50,0.99999
0.1,1,50,1.0
0.9,2,1,0.42464
0.8,2,1,0.33444
0.7,2,1,0.394355
0.6,2,1,0.238895
0.5,2,1,0.212255
0.4,2,1,0.22799
0.3,2,1,0.159075
0.2,2,1,0.198665
0.1,2,1,0.082
0.9,2,10,0.965635
0.8,2,10,0.926905
0.7,2,10,0.90133
0.6,2,10,0.857615
0.5,2,10,0.800565
0.4,2,10,0.778385
0.3,2,10,0.839665
0.2,2,10,0.80424
0.1,2,10,0.77404
0.9,2,20,0.99013
0.8,2,20,0.97891
0.7,2,20,0.969825
0.6,2,20,0.94726
0.5,2,20,0.939865
0.4,2,20,0.942835
0.3,2,20,0.9136
0.2,2,20,0.894455
0.1,2,20,0.89451
0.9,2,30,0.996935
0.8,2,30,0.991085
0.7,2,30,0.989285
0.6,2,30,0.977055
0.5,2,30,0.978995
0.4,2,30,0.97664
0.3,2,30,0.966655
0.2,2,30,0.95877
0.1,2,30,0.95656
0.9,2,40,0.998845
0.8,2,40,0.997445
0.7,2,40,0.99743
0.6,2,40,0.9952
0.5,2,40,0.98715
0.4,2,40,0.987465
0.3,2,40,0.98936
0.2,2,40,0.978475
0.1,2,40,0.970925
0.9,2,50,0.99915
0.8,2,50,0.99633
0.7,2,50,0.994145
