lmbda,k,gamma,trial,model,rho,cr,C_T
5,1,0.00025,0,mixed_model,0.1,,
5,1,0.00025,0,mixed_model,0.2,,
5,1,0.00025,0,mixed_model,0.30000000000000004,,
5,1,0.00025,0,mixed_model,0.4,,
5,1,0.00025,0,mixed_model,0.5,,
5,1,0.00025,0,mixed_model,0.6,,
5,1,0.00025,0,mixed_model,0.7000000000000001,,
5,1,0.00025,0,mixed_model,0.8,,
5,1,0.00025,0,mixed_model,0.9,,
5,1,0.00025,0,mixture_model,0.1,,
5,1,0.00025,0,mixture_model,0.2,,
5,1,0.00025,0,mixture_model,0.30000000000000004,,
5,1,0.00025,0,mixture_model,0.4,,
5,1,0.00025,0,mixture_model,0.5,,
5,1,0.00025,0,mixture_model,0.6,,
5,1,0.00025,0,mixture_model,0.7000000000000001,,
5,1,0.00025,0,mixture_model,0.8,,
5,1,0.00025,0,mixture_model,0.9,,
5,1,0.00025,0,true_distr,0.1,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.2,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.30000000000000004,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.4,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.5,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.6,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.7000000000000001,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.8,0.097,3.06471156434347
5,1,0.00025,0,true_distr,0.9,0.097,3.06471156434347
5,1,0.00025,1,mixed_model,0.1,,
5,1,0.00025,1,mixed_model,0.2,,
5,1,0.00025,1,mixed_model,0.30000000000000004,,
5,1,0.00025,1,mixed_model,0.4,,
5,1,0.00025,1,mixed_model,0.5,,
5,1,0.00025,1,mixed_model,0.6,,
5,1,0.00025,1,mixed_model,0.7000000000000001,,
5,1,0.00025,1,mixed_model,0.8,,
5,1,0.00025,1,mixed_model,0.9,,
5,1,0.00025,1,mixture_model,0.1,,
5,1,0.00025,1,mixture_model,0.2,,
5,1,0.00025,1,mixture_model,0.30000000000000004,,
5,1,0.00025,1,mixture_model,0.4,,
5,1,0.00025,1,mixture_model,0.5,,
5,1,0.00025,1,mixture_model,0.6,,
5,1,0.00025,1,mixture_model,0.7000000000000001,,
5,1,0.00025,1,mixture_model,0.8,,
5,1,0.00025,1,mixture_model,0.9,,
5,1,0.00025,1,true_distr,0.1,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.2,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.30000000000000004,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.4,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.5,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.6,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.7000000000000001,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.8,0.1125,2.485889897623853
5,1,0.00025,1,true_distr,0.9,0.1125,2.485889897623853
5,1,0.00025,2,mixed_model,0.1,,
5,1,0.00025,2,mixed_model,0.2,,
5,1,0.00025,2,mixed_model,0.30000000000000004,,
5,1,0.00025,2,mixed_model,0.4,,
5,1,0.00025,2,mixed_model,0.5,,
5,1,0.00025,2,mixed_model,0.6,,
5,1,0.00025,2,mixed_model,0.7000000000000001,,
5,1,0.00025,2,mixed_model,0.8,,
5,1,0.00025,2,mixed_model,0.9,,
5,1,0.00025,2,mixture_model,0.1,,
5,1,0.00025,2,mixture_model,0.2,,
5,1,0.00025,2,mixture_model,0.30000000000000004,,
5,1,0.00025,2,mixture_model,0.4,,
5,1,0.00025,2,mixture_model,0.5,,
5,1,0.00025,2,mixture_model,0.6,,
5,1,0.00025,2,mixture_model,0.7000000000000001,,
5,1,0.00025,2,mixture_model,0.8,,
5,1,0.00025,2,mixture_model,0.9,,
5,1,0.00025,2,true_distr,0.1,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.2,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.30000000000000004,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.4,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.5,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.6,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.7000000000000001,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.8,0.075,3.969819738170426
5,1,0.00025,2,true_distr,0.9,0.075,3.969819738170426
5,1,0.00025,3,mixed_model,0.1,,
5,1,0.00025,3,mixed_model,0.2,,
5,1,0.00025,3,mixed_model,0.30000000000000004,,
5,1,0.00025,3,mixed_model,0.4,,
5,1,0.00025,3,mixed_model,0.5,,
5,1,0.00025,3,mixed_model,0.6,,
5,1,0.00025,3,mixed_model,0.7000000000000001,,
5,1,0.00025,3,mixed_model,0.8,,
5,1,0.00025,3,mixed_model,0.9,,
5,1,0.00025,3,mixture_model,0.1,,
5,1,0.00025,3,mixture_model,0.2,,
5,1,0.00025,3,mixture_model,0.30000000000000004,,
5,1,0.00025,3,mixture_model,0.4,,
5,1,0.00025,3,mixture_model,0.5,,
5,1,0.00025,3,mixture_model,0.6,,
5,1,0.00025,3,mixture_model,0.7000000000000001,,
5,1,0.00025,3,mixture_model,0.8,,
5,1,0.00025,3,mixture_model,0.9,,
5,1,0.00025,3,true_distr,0.1,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.2,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.30000000000000004,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.4,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.5,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.6,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.7000000000000001,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.8,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.9,0.0735,3.5878480205042105
5,1,0.00025,4,mixed_model,0.1,,
5,1,0.00025,4,mixed_model,0.2,,
5,1,0.00025,4,mixed_model,0.30000000000000004,,
5,1,0.00025,4,mixed_model,0.4,,
5,1,0.00025,4,mixed_model,0.5,,
5,1,0.00025,4,mixed_model,0.6,,
